query,score,value,eps,min_samples,bias
translation,map,0.26666666666666666,0.5,8,False
translation,ndcg,0.6280620271054537,0.5,8,False
translation,map,0.26666666666666666,0.5,8,us
translation,ndcg,0.6280620271054537,0.5,8,us
translation,map,0.26666666666666666,0.5,8,ru
translation,ndcg,0.6280620271054537,0.5,8,ru
translation,map,0.2947802197802198,0.9,2,False
translation,ndcg,0.6987042444163166,0.9,2,False
translation,map,0.2947802197802198,0.9,2,us
translation,ndcg,0.6987042444163166,0.9,2,us
translation,map,0.26666666666666666,0.9,2,ru
translation,ndcg,0.6280620271054537,0.9,2,ru
translation,map,0.3581730769230769,0.9,5,False
translation,ndcg,0.5949976436510684,0.9,5,False
translation,map,0.3581730769230769,0.9,5,us
translation,ndcg,0.5949976436510684,0.9,5,us
translation,map,0.26666666666666666,0.9,5,ru
translation,ndcg,0.6280620271054537,0.9,5,ru
translation,map,0.3581730769230769,0.9,8,False
translation,ndcg,0.5949976436510684,0.9,8,False
translation,map,0.3581730769230769,0.9,8,us
translation,ndcg,0.5949976436510684,0.9,8,us
translation,map,0.26666666666666666,0.9,8,ru
translation,ndcg,0.6280620271054537,0.9,8,ru
